county,week,flood_type,detected_pixel_days,mean_cloud_fraction,unique_grid_cells,detected_area_km2,year,month
Aweil Centre,2010-08-16,unusual,9,0.0,9,0.4776612852940399,2010,8
Aweil Centre,2010-08-23,recurring,2,0.0,2,0.10611637502771734,2010,8
Aweil Centre,2010-08-23,unusual,2,0.0,2,0.10615732856683686,2010,8
Aweil Centre,2010-08-30,recurring,6,0.0,5,0.26537869040498735,2010,8
Aweil Centre,2010-08-30,unusual,9,0.0,7,0.37154532400914003,2010,8
Aweil Centre,2010-09-06,recurring,2,0.0,2,0.10618420592021158,2010,9
Aweil Centre,2010-09-13,recurring,15,0.0,8,0.42441424260000155,2010,9
Aweil Centre,2010-09-13,unusual,7,0.0,4,0.2122626644622455,2010,9
Aweil Centre,2010-09-20,recurring,55,0.0,41,2.1746196037522885,2010,9
Aweil Centre,2010-09-20,unusual,46,0.0,44,2.3342740563928794,2010,9
Aweil Centre,2010-09-27,recurring,280,0.0,106,5.622538414902844,2010,9
Aweil Centre,2010-09-27,unusual,3776,0.0,1699,90.15085828232291,2010,9
Aweil Centre,2010-10-04,recurring,222,0.0,69,3.6599843974140263,2010,10
Aweil Centre,2010-10-04,unusual,2465,0.0,1392,73.84904421911237,2010,10
Aweil Centre,2010-10-11,recurring,246,0.0,69,3.660031364046365,2010,10
Aweil Centre,2010-10-11,unusual,663,0.0,327,17.34685151510847,2010,10
Aweil Centre,2010-10-18,recurring,50,0.0,26,1.3789545039922977,2010,10
Aweil Centre,2010-10-18,unusual,56,0.0,31,1.643861594657821,2010,10
Aweil Centre,2010-10-25,recurring,6,0.0,6,0.31821565560024523,2010,10
Aweil Centre,2010-10-25,unusual,8,0.0,8,0.4242879616596459,2010,10
Aweil Centre,2010-11-01,recurring,8,0.0,5,0.26516741899298363,2010,11
Aweil Centre,2010-11-01,unusual,10,0.0,10,0.530536243917575,2010,11
Aweil Centre,2010-11-08,recurring,13,0.0,4,0.21208832345104528,2010,11
Aweil Centre,2010-11-08,unusual,14,0.0,8,0.42420917548900894,2010,11
Aweil Centre,2010-11-15,recurring,8,0.0,4,0.21208832345104528,2010,11
Aweil Centre,2010-11-15,unusual,21,0.0,12,0.6363448524478525,2010,11
Aweil Centre,2010-11-29,unusual,1,0.0,1,0.0530825402499146,2010,11
Aweil Centre,2011-10-31,unusual,5,0.0,3,0.1592885727643464,2011,10
Aweil Centre,2011-11-07,unusual,2,0.0,2,0.10618698585130831,2011,11
Aweil Centre,2011-11-21,unusual,9,0.0,9,0.4777216290380781,2011,11
Aweil Centre,2012-08-20,unusual,9,0.0,9,0.47737462804407793,2012,8
Aweil Centre,2012-09-10,unusual,13,0.0,13,0.6895421173010753,2012,9
Aweil Centre,2012-09-17,recurring,8,0.0,5,0.26533064346622404,2012,9
Aweil Centre,2012-09-17,unusual,15,0.0,9,0.47741666242215436,2012,9
Aweil Centre,2012-09-24,recurring,4,0.0,4,0.21226717375158363,2012,9
Aweil Centre,2012-09-24,unusual,8,0.0,8,0.42441843374900495,2012,9
Aweil Centre,2012-10-01,recurring,14,0.0,11,0.5833736216586408,2012,10
Aweil Centre,2012-10-01,unusual,1,0.0,1,0.0530390532670001,2012,10
Aweil Centre,2012-10-08,recurring,21,0.0,21,1.113751898350648,2012,10
Aweil Centre,2012-10-08,unusual,3,0.0,3,0.15912160120161206,2012,10
Aweil Centre,2012-10-15,recurring,11,0.0,10,0.5303387339576312,2012,10
Aweil Centre,2012-10-15,unusual,2,0.0,2,0.10620373773299172,2012,10
Aweil Centre,2012-10-22,unusual,2,0.0,2,0.10620373773299172,2012,10
Aweil Centre,2012-10-29,recurring,2,0.0,2,0.10617707777451832,2012,10
Aweil Centre,2012-10-29,unusual,19,0.0,19,1.0087680439546762,2012,10
Aweil Centre,2012-11-12,recurring,3,0.0,2,0.10616880346176173,2012,11
Aweil Centre,2012-11-12,unusual,10,0.0,8,0.4246888985088172,2012,11
Aweil Centre,2012-11-19,unusual,5,0.0,4,0.21230288947402626,2012,11
Aweil Centre,2013-03-11,unusual,2,0.0,2,0.10607424145035349,2013,3
Aweil Centre,2013-03-18,unusual,2,0.0,2,0.10607424145035349,2013,3
Aweil Centre,2013-08-19,unusual,1,0.0,1,0.0531021506207456,2013,8
Aweil Centre,2013-10-07,recurring,2,0.0,2,0.10605570262083501,2013,10
Aweil Centre,2013-10-14,recurring,6,0.0,6,0.3183402260582926,2013,10
Aweil Centre,2013-10-14,unusual,1,0.0,1,0.05309224513050571,2013,10
Aweil Centre,2013-11-04,unusual,5,0.0,5,0.2653435044797867,2013,11
Aweil Centre,2013-11-11,unusual,28,0.0,28,1.485857371397833,2013,11
Aweil Centre,2013-11-18,unusual,32,0.0,29,1.5389563103681783,2013,11
Aweil Centre,2013-11-25,unusual,282,0.0,246,13.061913705286608,2013,11
Aweil Centre,2013-12-02,unusual,56,0.0,47,2.495984914749041,2013,12
Aweil Centre,2014-01-06,unusual,2,0.0,2,0.1060542277014211,2014,1
Aweil Centre,2014-08-18,recurring,5,0.0,5,0.26531472633534914,2014,8
Aweil Centre,2014-08-18,unusual,13,0.0,13,0.6898198610712863,2014,8
Aweil Centre,2014-08-25,recurring,6,0.0,3,0.15910048653205472,2014,8
Aweil Centre,2014-09-08,recurring,26,0.0,13,0.689438623669533,2014,9
Aweil Centre,2014-09-15,recurring,45,0.0,21,1.1137171152086283,2014,9
Aweil Centre,2014-09-15,unusual,1,0.0,1,0.0530390532670001,2014,9
Aweil Centre,2014-09-22,recurring,26,0.0,18,0.954608805957388,2014,9
Aweil Centre,2014-09-22,unusual,1,0.0,1,0.053039350379520775,2014,9
Aweil Centre,2014-09-29,recurring,3,0.0,3,0.15910078497713495,2014,9
Aweil Centre,2014-10-06,recurring,30,0.0,17,0.9015667809155736,2014,10
Aweil Centre,2014-10-06,unusual,1,0.0,1,0.05303369447407172,2014,10
Aweil Centre,2014-10-13,recurring,51,0.0,24,1.27323185286705,2014,10
Aweil Centre,2014-10-13,unusual,48,0.0,48,2.5484204453862715,2014,10
Aweil Centre,2014-10-20,recurring,3,0.0,3,0.15914618604500155,2014,10
Aweil Centre,2014-10-20,unusual,4,0.0,4,0.21232362462583526,2014,10
Aweil Centre,2014-10-27,recurring,12,0.0,12,0.6364518222121399,2014,10
