county,run_id,start_week,end_week,county_detected_weeks,peak_weekly_union_area_km2,cumulative_detected_area_km2_weeks
Aweil East,76,2020-05-04,2020-05-04,1,0.158831966922668,0.158831966922668
Aweil East,77,2020-08-31,2021-01-11,20,263.4061482214141,971.5199253561386
Aweil East,78,2021-05-10,2021-05-10,1,0.05292207278782882,0.05292207278782882
Aweil East,79,2021-06-28,2021-06-28,1,1.166346160880021,1.166346160880021
Aweil East,80,2021-07-12,2021-08-23,7,69.45869466981499,140.02509585684666
Aweil East,81,2021-09-06,2021-09-06,1,8.80137131649795,8.80137131649795
Aweil East,82,2021-09-20,2021-12-27,15,146.6075425139948,744.2636078785495
Aweil East,83,2022-05-30,2022-05-30,1,0.10588526591317536,0.10588526591317536
Aweil East,84,2022-08-01,2022-08-01,1,10.494418753534223,10.494418753534223
Aweil East,85,2022-08-15,2022-10-10,9,99.57355877935812,229.8916516317145
Aweil East,86,2022-10-24,2023-01-16,13,104.60717398894391,374.46536780382223
Aweil East,87,2023-07-10,2023-07-24,3,2.5977835986941673,5.195383863927112
Aweil East,88,2023-08-21,2023-09-11,4,1.802471027646068,4.559146640146595
Aweil East,89,2023-09-25,2023-10-02,2,0.4239172750929103,0.7418319783308618
Aweil East,90,2023-11-06,2023-11-27,4,0.9541384818747088,1.5900634553224644
Aweil East,91,2023-12-25,2024-01-22,5,0.7425107591116126,2.492714759531361
Aweil East,92,2024-07-01,2024-07-01,1,0.21201708972854189,0.21201708972854189
Aweil East,93,2024-07-22,2024-07-22,1,0.1589866371920276,0.1589866371920276
Aweil East,94,2024-09-02,2025-02-03,23,111.60291835158958,863.8513509822454
Aweil East,95,2025-02-17,2025-02-24,2,0.05302411136549912,0.10604701982897352
Aweil East,96,2025-03-24,2025-03-24,1,0.10585737935441884,0.10585737935441884
Aweil East,97,2025-09-15,2025-09-15,1,3.3934042453259687,3.3934042453259687
Aweil East,98,2025-09-29,2025-12-15,12,12.512518622617474,44.005414468967736
Aweil North,1,2001-08-20,2001-08-20,1,0.31805761407569644,0.31805761407569644
Aweil North,2,2001-10-01,2001-10-01,1,3.657539056745124,3.657539056745124
Aweil North,3,2003-06-23,2003-06-30,2,0.31804026991021556,0.42405369321362074
Aweil North,4,2003-09-01,2003-09-22,4,5.459717740518461,12.615640651187777
Aweil North,5,2003-10-06,2003-10-20,3,1.1661799203591607,1.8022772048554996
