state,county,county_code,week,flood_type,detected_pixel_days,unique_grid_cells,detected_area_km2
Jonglei,Twic East,SS0310,2000-12-18,recurring,4,2,0.10649004630660554
Jonglei,Twic East,SS0310,2000-12-18,unusual,35,18,0.9584142358016695
Jonglei,Twic East,SS0310,2000-12-25,unusual,1,1,0.05324260619071604
Jonglei,Uror,SS0311,2000-04-10,unusual,2,2,0.10652121431824585
Jonglei,Uror,SS0311,2000-11-27,unusual,13,13,0.6920092049495413
Jonglei,Uror,SS0311,2000-12-04,unusual,12,12,0.6387321758200192
Jonglei,Uror,SS0311,2000-12-18,unusual,4,4,0.21278486541078462
Jonglei,Uror,SS0311,2000-12-25,unusual,5,5,0.2660360971679386
Lakes,Awerial,SS0401,2000-02-28,recurring,4,3,0.16005714143824662
Lakes,Awerial,SS0401,2000-02-28,unusual,9,9,0.480158404657138
Lakes,Awerial,SS0401,2000-03-06,unusual,1,1,0.05335508706581556
Lakes,Awerial,SS0401,2000-03-27,unusual,7,7,0.37345494525949485
Lakes,Awerial,SS0401,2000-04-17,unusual,6,6,0.32010511190425217
Lakes,Awerial,SS0401,2000-05-01,recurring,1,1,0.05335067637054198
Lakes,Awerial,SS0401,2000-05-01,unusual,6,6,0.3201042688889529
Lakes,Awerial,SS0401,2000-05-15,recurring,1,1,0.05335067637054198
Lakes,Awerial,SS0401,2000-05-15,unusual,6,6,0.3201042688889529
Lakes,Awerial,SS0401,2000-05-29,recurring,2,1,0.05335067637054198
Lakes,Awerial,SS0401,2000-05-29,unusual,10,5,0.2667535925184109
Lakes,Awerial,SS0401,2000-06-26,unusual,5,5,0.2667535925184109
Lakes,Awerial,SS0401,2000-08-28,unusual,18,6,0.3201040581527528
Lakes,Awerial,SS0401,2000-09-11,unusual,6,2,0.10670135274108396
Lakes,Awerial,SS0401,2000-10-23,recurring,1,1,0.05335067637054198
Lakes,Awerial,SS0401,2000-10-23,unusual,6,6,0.3201044796251529
Lakes,Awerial,SS0401,2000-10-30,recurring,2,1,0.05335067637054198
Lakes,Awerial,SS0401,2000-10-30,unusual,7,5,0.2667535925184109
Lakes,Awerial,SS0401,2000-11-20,recurring,2,2,0.10671345902741777
Lakes,Awerial,SS0401,2000-11-20,unusual,3,3,0.16005181830492682
Lakes,Awerial,SS0401,2000-11-27,recurring,3,2,0.10671345902741777
Lakes,Awerial,SS0401,2000-11-27,unusual,11,8,0.4268096148736107
Lakes,Awerial,SS0401,2000-12-04,recurring,8,2,0.10671345902741777
Lakes,Awerial,SS0401,2000-12-04,unusual,23,8,0.42680604310243697
