county_code,run_id,start_week,end_week,county_detected_weeks,peak_weekly_union_area_km2,cumulative_detected_area_km2_weeks,potential_cattle_exposure_weeks,flooded_rangeland_km2_weeks,state,county
SS0201,102,2017-02-06,2017-02-06,1,0.6956046057629172,0.6956046057629172,11.181041839092574,0.5832709906133665,Eastern Equatoria,Budi
SS0201,103,2017-02-27,2017-02-27,1,0.21406623053383644,0.21406623053383644,4.9843209917667295,0.03960226206653792,Eastern Equatoria,Budi
SS0201,104,2017-03-13,2017-03-27,3,4.5483686942405335,4.708917257263263,92.1739856894305,4.291505660454068,Eastern Equatoria,Budi
SS0201,105,2017-04-10,2017-04-10,1,0.16051403592606373,0.16051403592606373,2.372932390881911,0.16051403592606373,Eastern Equatoria,Budi
SS0201,106,2017-05-01,2017-05-22,4,0.5886007166517142,1.1773319440281658,23.831544474878267,1.0130578140912445,Eastern Equatoria,Budi
SS0201,107,2017-06-05,2017-06-19,3,0.5348228931223112,0.6418040851777538,10.853226232900678,0.5674489192023284,Eastern Equatoria,Budi
SS0201,108,2017-11-27,2017-12-04,2,0.8561878341273341,0.9097185597565873,18.314385040745808,0.7802464287144841,Eastern Equatoria,Budi
SS0201,109,2017-12-18,2017-12-25,2,0.9095968506214555,1.6051647099061972,25.645866273505135,1.4943941759315278,Eastern Equatoria,Budi
SS0201,110,2018-01-08,2018-01-08,1,0.10694536920932537,0.10694536920932537,1.8985396296312425,0.10427173910170189,Eastern Equatoria,Budi
SS0201,111,2018-01-22,2018-01-22,1,0.21389715640713514,0.21389715640713514,3.9523183022560264,0.17379146708385632,Eastern Equatoria,Budi
SS0201,112,2018-02-12,2018-02-12,1,0.05350281632360706,0.05350281632360706,0.9984495597998055,0.02835649265151174,Eastern Equatoria,Budi
SS0201,113,2018-03-19,2018-03-19,1,0.0534727670568556,0.0534727670568556,0.9492712785419795,0.04972967336287571,Eastern Equatoria,Budi
SS0201,114,2018-04-02,2018-04-02,1,0.053480599472449854,0.053480599472449854,1.215180812923047,0.05294579347772536,Eastern Equatoria,Budi
SS0201,115,2018-04-23,2018-04-23,1,0.10705045623709296,0.10705045623709296,2.33207440934115,0.06423027374225578,Eastern Equatoria,Budi
SS0201,116,2018-10-01,2018-10-15,3,0.5887027283819352,1.1774120520004898,26.29756477962797,0.893230636185149,Eastern Equatoria,Budi
SS0201,117,2018-10-29,2019-01-07,11,4.2274384915108385,17.388452221586057,324.4946797477459,15.64911886223644,Eastern Equatoria,Budi
SS0201,118,2019-02-11,2019-02-11,1,2.3003565361843226,2.3003565361843226,45.423452205781956,1.80612586987654,Eastern Equatoria,Budi
SS0201,119,2019-03-11,2019-03-18,2,2.995597257507437,3.4236099612937148,61.356432451399925,2.8613781089524215,Eastern Equatoria,Budi
SS0201,120,2019-04-01,2019-04-01,1,0.05350477900775914,0.05350477900775914,0.7909789473673954,0.05350477900775914,Eastern Equatoria,Budi
SS0201,121,2019-04-15,2019-04-15,1,0.2139648821670725,0.2139648821670725,4.1030183467485655,0.2107554128528265,Eastern Equatoria,Budi
SS0201,122,2019-04-29,2019-05-06,2,0.10704052934542668,0.16052241835785905,2.953802696002354,0.1583816077709505,Eastern Equatoria,Budi
SS0201,123,2019-05-20,2019-05-27,2,0.7491262428909861,1.0166596640986958,20.50512988232532,0.8347645670824455,Eastern Equatoria,Budi
SS0201,124,2019-12-30,2020-01-06,2,1.3377555988704009,1.8730513712648946,35.18777276434193,1.4668193869802724,Eastern Equatoria,Budi
SS0201,125,2020-01-20,2020-01-20,1,0.05350747682068358,0.05350747682068358,1.051140868996026,0.05350747682068358,Eastern Equatoria,Budi
SS0201,126,2020-02-03,2020-02-03,1,2.997330481169918,2.997330481169918,68.8266668629667,2.6619662358778275,Eastern Equatoria,Budi
SS0201,127,2020-02-17,2020-02-17,1,1.0701606609172898,1.0701606609172898,21.485447111795605,0.7222999320382356,Eastern Equatoria,Budi
SS0201,128,2020-05-04,2020-05-04,1,0.21400123011259606,0.21400123011259606,3.6813642702103304,0.1481994017103178,Eastern Equatoria,Budi
SS0201,129,2020-05-25,2020-05-25,1,0.1070425285671282,0.1070425285671282,2.0735043276021976,0.10490167799578562,Eastern Equatoria,Budi
SS0201,130,2020-11-16,2020-12-21,6,7.493923302121061,10.063619566753415,197.50483992569937,8.80960694588217,Eastern Equatoria,Budi
SS0201,131,2021-01-04,2021-01-25,4,2.6218532642052774,4.708818209867663,85.17655704196393,4.334733428564425,Eastern Equatoria,Budi
SS0201,132,2021-02-08,2021-02-15,2,0.10701665032252874,0.16055107018355882,3.27060115296981,0.09203831803042353,Eastern Equatoria,Budi
SS0201,133,2021-03-08,2021-03-15,2,0.4814770998019568,0.5349524957514545,10.355184666643218,0.4563271676908568,Eastern Equatoria,Budi
SS0201,134,2021-04-12,2021-04-12,1,0.32108846837936905,0.32108846837936905,6.649984849102472,0.31413130266489364,Eastern Equatoria,Budi
SS0201,135,2021-05-31,2021-05-31,1,0.10701345947365715,0.10701345947365715,2.07730407711251,0.10701345947365715,Eastern Equatoria,Budi
SS0201,136,2021-06-28,2021-06-28,1,0.053537257490336596,0.053537257490336596,1.104296165082779,0.053537257490336596,Eastern Equatoria,Budi
SS0201,137,2021-11-01,2021-11-01,1,0.2676633316085392,0.2676633316085392,4.410790392575802,0.2569576569765335,Eastern Equatoria,Budi
SS0201,138,2021-11-22,2021-12-13,4,4.762205162677593,6.5280295009565705,110.08072379696566,6.28668247135024,Eastern Equatoria,Budi
SS0201,139,2021-12-27,2022-01-10,3,1.3909223304104787,3.1567396272080606,56.800741964825434,3.0176375755310105,Eastern Equatoria,Budi
SS0201,140,2022-02-28,2022-02-28,1,0.2139858370614717,0.2139858370614717,4.329937222460754,0.1931263908873166,Eastern Equatoria,Budi
SS0201,141,2022-03-21,2022-03-21,1,0.6418368469131677,0.6418368469131677,11.195269205374162,0.511320780205385,Eastern Equatoria,Budi
SS0201,142,2022-10-03,2022-10-03,1,0.16061230979321922,0.16061230979321922,3.078579858916769,0.1600769358748718,Eastern Equatoria,Budi
SS0201,143,2022-10-24,2022-10-31,2,1.980617467441086,2.355322461824292,47.65244176684672,1.9988533627224536,Eastern Equatoria,Budi
SS0201,144,2022-11-14,2022-11-14,1,2.194709179030899,2.194709179030899,49.09058572439447,2.0635772191713295,Eastern Equatoria,Budi
SS0201,145,2022-11-28,2023-01-30,10,1.7124274965164126,7.491677052662271,144.0543764515071,6.760769347529074,Eastern Equatoria,Budi
SS0201,146,2023-06-05,2023-06-05,1,0.0534901608575984,0.0534901608575984,1.0257342660459872,0.05242035764044643,Eastern Equatoria,Budi
SS0201,147,2023-09-18,2023-10-02,3,0.321197935899168,0.695895339446879,13.87190051500182,0.6873300529615612,Eastern Equatoria,Budi
SS0201,148,2023-12-04,2023-12-04,1,0.16045782794390676,0.16045782794390676,3.2258274783829397,0.13317998446774892,Eastern Equatoria,Budi
SS0201,149,2023-12-18,2024-01-01,3,1.283977841666537,3.210026356230764,57.5275870842206,3.070905518774362,Eastern Equatoria,Budi
SS0201,150,2024-01-22,2024-02-12,4,1.4985950138361586,2.997019326033204,67.86798719863893,2.0166680269939268,Eastern Equatoria,Budi
SS0201,151,2024-03-04,2024-03-04,1,2.674231926502117,2.674231926502117,53.77631189310237,2.2714611538800553,Eastern Equatoria,Budi
SS0201,152,2024-03-18,2024-03-25,2,0.37452158202442265,0.6419604613351635,8.558035914752192,0.5226646857979651,Eastern Equatoria,Budi
SS0201,153,2024-04-08,2024-04-08,1,0.053470949220614114,0.053470949220614114,0.9492390075407182,0.052936239728407976,Eastern Equatoria,Budi
SS0201,154,2024-05-13,2024-05-13,1,0.7489751984281098,0.7489751984281098,13.179721798267785,0.35040365662956596,Eastern Equatoria,Budi
SS0201,155,2024-07-15,2024-07-15,1,0.21390043717350296,0.21390043717350296,3.9523789231318665,0.20534440330217396,Eastern Equatoria,Budi
SS0201,156,2024-12-02,2025-01-13,7,4.334783654501405,10.327121966548766,188.95610143690277,8.618655430764512,Eastern Equatoria,Budi
SS0201,157,2025-02-10,2025-02-17,2,0.48152198207004815,0.6954649008858751,14.370653065889446,0.5558070991369908,Eastern Equatoria,Budi
SS0201,158,2025-04-14,2025-04-14,1,0.16045080204419987,0.16045080204419987,3.6457470182746654,0.13156991531423345,Eastern Equatoria,Budi
SS0201,159,2025-11-10,2025-11-24,3,0.9098385580824976,1.8199040096068502,34.10554346077653,1.678598843706145,Eastern Equatoria,Budi
SS0201,160,2025-12-08,2025-12-22,3,4.869180870361773,6.581073039520098,173.85513846320413,5.3124921493734565,Eastern Equatoria,Budi
SS0202,1,2000-12-04,2000-12-04,1,0.2676920525478919,0.2676920525478919,4.487068701813413,0.2676920525478919,Eastern Equatoria,Ikotos
SS0202,2,2002-09-30,2002-09-30,1,0.05354791020418025,0.05354791020418025,0.9139346252878459,0.03266422522454995,Eastern Equatoria,Ikotos
SS0202,3,2002-10-21,2002-10-21,1,0.160626675085907,0.160626675085907,2.524790647226377,0.160626675085907,Eastern Equatoria,Ikotos
SS0202,4,2002-11-11,2002-12-16,6,0.42833084736667437,0.8566039907847107,15.345787106550306,0.8426843253205882,Eastern Equatoria,Ikotos
SS0202,5,2003-01-06,2003-01-27,4,1.177574509757009,2.8905023536777374,53.82236815468792,2.1962300635557677,Eastern Equatoria,Ikotos
SS0202,6,2003-02-17,2003-02-17,1,0.05351875873141177,0.05351875873141177,0.711494174533195,0.04013906904855883,Eastern Equatoria,Ikotos
SS0202,7,2003-03-31,2003-03-31,1,0.10709659164658782,0.10709659164658782,1.8278824137657697,0.10709659164658782,Eastern Equatoria,Ikotos
SS0202,8,2003-06-02,2003-06-02,1,0.3747400615054193,0.3747400615054193,6.200990573265502,0.36992421451579144,Eastern Equatoria,Ikotos
SS0202,9,2003-10-20,2003-12-01,7,3.640469941038578,11.510385269677593,211.52878135848016,10.294114711952892,Eastern Equatoria,Ikotos
SS0202,10,2003-12-15,2003-12-15,1,0.10704152984079301,0.10704152984079301,2.088806955674768,0.1027598686471613,Eastern Equatoria,Ikotos
SS0202,11,2003-12-29,2003-12-29,1,0.428272110143344,0.428272110143344,9.488983822491653,0.3784889808342048,Eastern Equatoria,Ikotos
SS0202,12,2004-01-12,2004-01-19,2,1.4991564477842074,2.141657335106858,36.653971169416465,1.853619713824714,Eastern Equatoria,Ikotos
SS0202,13,2004-03-15,2004-03-15,1,0.48183649444900023,0.48183649444900023,7.84231741739838,0.42080660734631914,Eastern Equatoria,Ikotos
SS0202,14,2004-10-25,2004-10-25,1,0.2141735509403147,0.2141735509403147,3.437312125323877,0.21417355094031473,Eastern Equatoria,Ikotos
SS0202,15,2004-12-13,2004-12-20,2,6.2115348878389804,6.532795856216276,113.69828478743922,6.39999999831863,Eastern Equatoria,Ikotos
SS0202,16,2005-01-17,2005-02-07,4,1.1243984134133163,2.087662763873564,38.81461298852599,1.8628443539174981,Eastern Equatoria,Ikotos
SS0202,17,2005-03-07,2005-03-07,1,0.05354138931356831,0.05354138931356831,0.8203801648575677,0.005354138931356831,Eastern Equatoria,Ikotos
SS0202,18,2005-03-28,2005-03-28,1,0.7495599279423497,0.7495599279423497,11.562098990584433,0.4984558748259038,Eastern Equatoria,Ikotos
SS0202,19,2005-10-03,2005-10-03,1,0.3212035305031712,0.3212035305031712,6.169337062159093,0.21842493426295195,Eastern Equatoria,Ikotos
SS0202,20,2005-10-17,2005-10-17,1,0.05352684006400664,0.05352684006400664,0.9978619697917692,0.04389200885248545,Eastern Equatoria,Ikotos
SS0202,21,2005-10-31,2005-12-19,8,2.5160741511450837,5.728127679572472,108.08565377403445,4.788635075914867,Eastern Equatoria,Ikotos
SS0202,22,2006-01-02,2006-01-02,1,0.107097105126878,0.107097105126878,1.8278911776449724,0.107097105126878,Eastern Equatoria,Ikotos
SS0202,23,2006-01-16,2006-01-16,1,0.4818463282401022,0.4818463282401022,9.030841931137825,0.4700681217602754,Eastern Equatoria,Ikotos
SS0202,24,2006-02-20,2006-02-20,1,0.5888440597073079,0.5888440597073079,9.892004801826552,0.5187084634312416,Eastern Equatoria,Ikotos
SS0202,25,2006-03-20,2006-03-20,1,0.05351485048596509,0.05351485048596509,1.082274715911317,0.05351485048596509,Eastern Equatoria,Ikotos
SS0202,26,2006-05-15,2006-05-15,1,0.2676794154956194,0.2676794154956194,4.486856878857911,0.26714405504371835,Eastern Equatoria,Ikotos
SS0202,27,2006-10-16,2006-10-16,1,0.10708764533511803,0.10708764533511803,2.2650700181829193,0.10708764533511803,Eastern Equatoria,Ikotos
SS0202,28,2006-10-30,2006-10-30,1,0.05352571972989819,0.05352571972989819,1.2592681232461735,0.024086573878454188,Eastern Equatoria,Ikotos
SS0202,29,2006-12-04,2006-12-25,4,0.32120466501382056,0.48181562773770115,8.787309346073965,0.45237201724159004,Eastern Equatoria,Ikotos
SS0202,30,2007-01-08,2007-01-22,3,0.05354349526548493,0.16062202465799114,2.733065944263851,0.15259111966854497,Eastern Equatoria,Ikotos
