state,county,county_code,detected_weeks,largest_weekly_flood_area_km2,largest_weekly_flood_percent,flood_area_km2_weeks,flooded_rangeland_km2_weeks,potential_cattle_weeks,peak_potential_cattle_exposed,peak_flooded_rangeland_km2,mapped_cattle,mapped_rangeland_km2,mean_weekly_potential_cattle_exposed,mean_weekly_flooded_rangeland_km2,cattle_exposure_weeks_per_year,rangeland_exposure_weeks_per_year,cattle_absolute_rank,rangeland_absolute_rank
Unity,Mayendit,SS0605,934,496.0332504041709,16.20324213903825,23632.739079051134,6348.61523215971,874059.6476780797,18290.247527924956,104.44330003905607,120203.27907225509,1451.6437898680008,644.1117521577595,4.678419478378563,0.27967355812848815,0.1682075937867808,8,13
Unity,Mayom,SS0606,1107,639.2402815107739,15.004169837748494,52485.04058161167,10861.460482815655,2253006.678155694,29580.78431859621,266.8017542044208,205288.5547938287,1598.7431552666446,1660.2849507411158,8.00402393722598,0.4221087877646903,0.2612980569969169,2,8
Unity,Panyijiar,SS0607,1150,189.81015121886213,3.564527838649554,18820.80076387456,4511.883641512191,582233.1348517362,7165.275692101481,97.52625341934005,186234.84934590216,1794.0735977506286,429.0590529489582,3.324895830148999,0.12024377923000641,0.09672623599699623,12,22
Unity,Pariang,SS0608,1127,539.5306054430881,6.008942709697511,36353.60463100263,20893.945897252976,960395.0580826213,14245.016205204116,372.9740061488024,292350.7314447586,6689.855927735731,707.7340147992788,15.397159835853335,0.12634916725596052,0.12012415699548443,6,5
Unity,Rubkona,SS0609,523,1992.2416302719284,55.90073739743749,183437.07535632892,60241.70829341605,8006410.858186587,86740.44856856202,699.3701092070846,145667.06029210007,1294.0905432455856,5900.081693578914,44.39330014253209,2.1139911696132647,1.7904379199812266,1,1
Upper Nile,Baliet,SS0701,638,1778.856542877889,15.235353080651082,53254.720828316924,39578.12237115278,568388.5948474867,18807.836212655802,1419.294840608377,136001.39521011093,9217.971660963822,418.8567390180447,29.165897104755178,0.16074173186277108,0.16513779080705104,13,2
Upper Nile,Fashoda,SS0702,349,40.394247435520455,1.1236375891446055,950.2019173484365,653.2833159833319,15183.612965713804,630.7559596117661,28.991547564871762,45411.775920354725,2730.6230770926754,11.189103143488433,0.48141732939081205,0.012859772652145022,0.009201665947512074,48,44
Upper Nile,Longochuk,SS0703,502,51.222642989537775,0.7393498049850744,2141.3045634785512,1520.4334260148653,33787.74063232718,1051.1138951111664,49.286442021046234,104215.82975774753,4074.165160221218,24.89885087128016,1.1204373073064593,0.01246958824661787,0.01435342122696474,42,31
Upper Nile,Luakpiny/Nasir,SS0704,842,441.54288798374034,8.514516926494005,14154.95803834055,4607.31193544659,282663.65661966935,8831.456660233382,117.15042802363571,91833.42188563575,2500.23955063937,208.30041018398626,3.395218817573021,0.11838477623425053,0.07087493082979546,19,21
Upper Nile,Maban,SS0705,461,143.33461754771685,1.2125197353091774,3220.2541251501593,3048.035633307559,28062.142067995974,1252.3596682443053,141.2970669110939,112624.65699395166,9725.751287347652,20.679544633747955,2.2461574305877368,0.009583275858672285,0.012053787545966461,44,26
